activity,term,mean_hits,sd_hits,pct_zero,pct_lt1,max_hits,n_nonzero_rep,n_rep,query,group_id,group_scale,bridge_steps,common_value,GT_relative,GT_visibility,GT_score,GT_confidence,GT_note
Accuracy,accuracy frisbee,0.04123711340206191,NA,0.979381443298969,0,3,1,1,kanjam | discflect | frisbee horse | accuracy frisbee,g5,0.018681828730563933,1,7.703846899201633e-4,1.2045021747623441e-5,-1.3639964919625864,0,Medium,Extremely intermittent search signal
Battle Royale,battle royale frisbee,0,NA,1,0,0,0,2,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,g4,0.02371040723981901,2,0,0,-3,0,Low,Extremely intermittent search signal
Beach Ultimate,beach ultimate,13.938144329896906,NA,0,0,66,1,1,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,g2,0.15958927949878177,1,2.2243784111582774,0.034778321386581705,1.6442361149234106,3,Medium,Stable enough for relative comparison
Canine Disc (Disc Dog),disc dog,20.855670103092777,NA,0,0,100,1,2,freestyle frisbee | disc dog | canine disc | self caught flight frisbee,g7,0.5693430656934307,1,11.87403115358567,0.1856513574948114,1.8192449718139132,4,Medium,Stable enough for relative comparison
Canine Disc (Disc Dog),canine disc,0.9742268041237113,NA,0.061855670103092786,0.15463917525773196,4,1,2,freestyle frisbee | disc dog | canine disc | self caught flight frisbee,g7,0.5693430656934307,1,0.5546692753405073,0.00867229524629742,0.45817779431333583,2,Medium,Stable enough for relative comparison
Disc Golf,disc golf,63.958762886597945,NA,0,0,100,1,1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,g1,1,0,63.958762886597945,1,2.305906845048666,5,Medium,Stable enough for relative comparison
Discathon,discathon,0.010309278350515459,NA,0.979381443298969,0.020618556701030927,0.5,1,2,disc golf | speed lid golf | distance frisbee | discathon,g6,1,0,0.010309278350515459,1.6118633139909725e-4,-1.9362558283410185,0,Medium,Extremely intermittent search signal
Discflect / KanJam,kanjam,0.8298969072164948,NA,0,0.38144329896907214,2,1,1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,g1,1,0,0.8298969072164948,0.012975499677627334,0.4195471424309857,2,Medium,Stable enough for relative comparison
Discflect / KanJam,discflect,0.13402061855670094,NA,0.979381443298969,0,9,1,1,kanjam | discflect | frisbee horse | accuracy frisbee,g5,0.018681828730563933,1,0.0025037502422405257,3.914632067977611e-5,-0.859290628401463,0,Medium,Extremely intermittent search signal
Distance,distance frisbee,0.4896907216494845,NA,0.020618556701030927,0.979381443298969,0.5,1,2,disc golf | speed lid golf | distance frisbee | discathon,g6,1,0,0.4896907216494845,0.007656350741457123,0.18049856774018896,2,Medium,Stable enough for relative comparison
DodgeDisc,dodgebee,0.3865979381443298,NA,0.36082474226804123,0.5051546391752577,1,1,1,dodgedisc | dodgebee | ultimate frisbee,g9,0.15958927949878177,1,0.06169688640416819,9.646353934887675e-4,-0.09203091301050903,1,Medium,Stable enough for relative comparison
DodgeDisc,dodgedisc,0,NA,1,0,0,0,1,dodgedisc | dodgebee | ultimate frisbee,g9,0.15958927949878177,1,0,0,-3,0,Low,Extremely intermittent search signal
Double Disc Court (DDC),double disc court,0.05670103092783511,NA,0.9072164948453608,0.07216494845360824,1,1,2,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee,g3,0.15958927949878177,1,0.009048876672611346,1.414798577116861e-4,-1.192424674782195,0,Medium,Sparse search signal
Double Disc Court (DDC),escape frisbee,0.04123711340206182,NA,0.9175257731958762,0.08247422680412371,0.5,1,2,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee,g3,0.15958927949878177,1,0.006581001216444603,1.0289444197213514e-4,-1.333068656911041,0,Medium,Sparse search signal
Double Disc Court (DDC),ddc frisbee,0.010309278350515459,NA,0.979381443298969,0.020618556701030927,0.5,1,2,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee,g3,0.15958927949878177,1,0.0016452503041111514,2.5723610493033795e-5,-1.9362558283410185,0,Medium,Extremely intermittent search signal
Flutter Guts,flutter guts frisbee,0,NA,1,0,0,0,2,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,g4,0.02371040723981901,2,0,0,-3,0,Low,Extremely intermittent search signal
Freestyle,freestyle frisbee,0.4020618556701031,NA,0.1958762886597938,0.8041237113402062,0.5,1,1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,g1,1,0,0.4020618556701031,0.006286266924564797,0.007433555694072724,2,Medium,Stable enough for relative comparison
Frisbee H-O-R-S-E,frisbee horse,1.5463917525773192,NA,0.5979381443298969,0,7,1,1,kanjam | discflect | frisbee horse | accuracy frisbee,g5,0.018681828730563933,1,0.028889425872006075,4.516883155358783e-4,0.3906312056224298,1,Medium,Stable enough for relative comparison
Frisbee Hoops,frisbee hoops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No reliable Google Trends signal with current search phrase/grouping
Goaltimate,goaltimate,0.2628865979381444,NA,0.6185567010309279,0.23711340206185566,1,1,1,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,g2,0.15958927949878177,1,0.041953882754834394,6.559520675723623e-4,-0.38786101633675374,1,Medium,Stable enough for relative comparison
Guts,guts frisbee,0.13402061855670105,NA,0.7835051546391752,0.16494845360824742,1,1,2,ultimate frisbee | guts frisbee | double disc court | ddc frisbee | escape frisbee,g3,0.15958927949878177,1,0.021388253953444982,3.3440693640943956e-4,-0.7613524840715657,1,Medium,Sparse search signal
Hot Box,hot box frisbee,0.010309278350515465,NA,0.979381443298969,0.020618556701030927,0.5,1,1,ultimate frisbee | beach ultimate | goaltimate | hot box frisbee,g2,0.15958927949878177,1,0.0016452503041111525,2.5723610493033812e-5,-1.9362558283410183,0,Medium,Extremely intermittent search signal
Overall,overall flying disc,0,NA,1,0,0,0,1,overall flying disc | freestyle frisbee | self caught flight frisbee,g10,0.008019740900678592,1,0,0,-3,0,Low,Extremely intermittent search signal
Polish Horseshoes / BeersBee,beersbee,22.154639175257735,NA,0.09278350515463918,0,100,1,2,guts frisbee | flutter guts frisbee | battle royale frisbee | beersbee,g4,0.02371040723981901,2,0.5252955170966089,0.008213034358215838,1.7990925310741395,2,Low,Stable enough for relative comparison
Polish Horseshoes / BeersBee,polish horseshoes frisbee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No reliable Google Trends signal with current search phrase/grouping
"Self-Caught Flight (MTA, TRC)",self caught flight frisbee,0,NA,1,0,0,0,2,freestyle frisbee | disc dog | canine disc | self caught flight frisbee,g7,0.5693430656934307,1,0,0,-3,0,Low,Extremely intermittent search signal
"Self-Caught Flight (MTA, TRC)",mta frisbee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Insufficient signal,No reliable Google Trends signal with current search phrase/grouping
"Self-Caught Flight (MTA, TRC)",trc frisbee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Insufficient signal,No reliable Google Trends signal with current search phrase/grouping
Speed Lid Golf,speed lid golf,0.015463917525773231,NA,0.9690721649484536,0.030927835051546393,0.5,1,2,disc golf | speed lid golf | distance frisbee | discathon,g6,1,0,0.015463917525773231,2.4177949709864655e-4,-1.7680029006019877,1,Medium,Extremely intermittent search signal
Ultimate,ultimate frisbee,9.45360824742268,NA,0,0,16,1,1,disc golf | ultimate frisbee | kanjam | freestyle frisbee,g1,1,0,9.45360824742268,0.14780786589297226,1.4756435385213702,4,Medium,Stable enough for relative comparison
World War Free,world war free frisbee,0,NA,1,0,0,0,2,hot box frisbee | world war free frisbee | goaltimate | battle royale frisbee,g8,0.0025514273524883616,2,0,0,-3,0,Low,Extremely intermittent search signal
